,fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate
84,085-east_siberian_sea-100km-2009-09-03,085,east_siberian_sea,100km,-987500.0,-887500.0,812500.0,912500.0,-937500.0,862500.0,78.27969013699676,-177.6140559696112,2009-09-03,2009-09-04
85,086-east_siberian_sea-100km-2006-09-27,086,east_siberian_sea,100km,-1412500.0,-1312500.0,1037500.0,1137500.0,-1362500.0,1087500.0,74.0076382307174,-173.59564727361587,2006-09-27,2006-09-28
86,087-east_siberian_sea-100km-2018-08-28,087,east_siberian_sea,100km,-1137500.0,-1037500.0,812500.0,912500.0,-1087500.0,862500.0,77.2378149436017,-173.418055344822,2018-08-28,2018-08-29
87,088-east_siberian_sea-100km-2014-08-08,088,east_siberian_sea,100km,-1512500.0,-1412500.0,1062500.0,1162500.0,-1462500.0,1112500.0,73.15462423928713,-172.2596588411621,2014-08-08,2014-08-09
88,089-east_siberian_sea-100km-2014-05-11,089,east_siberian_sea,100km,-362500.0,-262500.0,1437500.0,1537500.0,-312500.0,1487500.0,76.03546416302942,146.86439045128114,2014-05-11,2014-05-12
89,090-east_siberian_sea-100km-2015-07-16,090,east_siberian_sea,100km,-337500.0,-237500.0,1262500.0,1362500.0,-287500.0,1312500.0,77.64285954255678,147.35535986508347,2015-07-16,2015-07-17
90,091-east_siberian_sea-100km-2016-05-25,091,east_siberian_sea,100km,-412500.0,-312500.0,1487500.0,1587500.0,-362500.0,1537500.0,75.49262615378512,148.26648084658368,2016-05-25,2016-05-26
91,092-east_siberian_sea-100km-2020-03-03,092,east_siberian_sea,100km,-487500.0,-387500.0,1712500.0,1812500.0,-437500.0,1762500.0,73.34954438997262,148.94059117029002,2020-03-03,2020-03-04
92,093-east_siberian_sea-100km-2018-04-22,093,east_siberian_sea,100km,-462500.0,-362500.0,1437500.0,1537500.0,-412500.0,1487500.0,75.82015542618574,150.49927537650083,2018-04-22,2018-04-23
93,094-east_siberian_sea-100km-2015-06-30,094,east_siberian_sea,100km,-487500.0,-387500.0,1512500.0,1612500.0,-437500.0,1562500.0,75.10248262521975,150.64224645720873,2015-06-30,2015-07-01
94,095-east_siberian_sea-100km-2022-05-20,095,east_siberian_sea,100km,-487500.0,-387500.0,1462500.0,1562500.0,-437500.0,1512500.0,75.53945903477262,151.13284053048537,2022-05-20,2022-05-21
95,096-east_siberian_sea-100km-2014-04-27,096,east_siberian_sea,100km,-512500.0,-412500.0,1437500.0,1537500.0,-462500.0,1487500.0,75.69185601903224,152.2717425776809,2014-04-27,2014-04-28
96,097-east_siberian_sea-100km-2006-06-11,097,east_siberian_sea,100km,-612500.0,-512500.0,1537500.0,1637500.0,-562500.0,1587500.0,74.54322462696989,154.51079944371327,2006-06-11,2006-06-12
97,098-east_siberian_sea-100km-2019-06-15,098,east_siberian_sea,100km,-562500.0,-462500.0,1362500.0,1462500.0,-512500.0,1412500.0,76.1935547516979,154.94238458169698,2019-06-15,2019-06-16
98,099-east_siberian_sea-100km-2007-07-23,099,east_siberian_sea,100km,-662500.0,-562500.0,1337500.0,1437500.0,-612500.0,1387500.0,76.06543314580152,158.81865049973374,2007-07-23,2007-07-24
99,100-east_siberian_sea-100km-2007-03-26,100,east_siberian_sea,100km,-1112500.0,-1012500.0,1787500.0,1887500.0,-1062500.0,1837500.0,70.58632586199631,165.03784474567345,2007-03-26,2007-03-27
